OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Housing,Occupied,Vacant,Shape__Area,Shape__Length
94,Chinquapin Park,1247,134,1010,0,21,0,9,73,23,545,512,33,3200096.09399414,9178.98135275885
95,Orchard Ridge,1038,49,918,4,2,1,13,51,36,450,420,30,7480321.75354004,13073.435358025
96,Clifton Park,16,0,10,0,0,0,0,6,0,6,6,0,15326503.0761108,16842.164283724
97,Coldspring,1108,216,750,5,52,0,21,64,33,610,558,52,17984120.0997925,18723.6835030126
98,Coldstream Homestead Montebello,5638,139,5107,20,25,0,112,235,166,2790,2068,722,14529417.296936,16794.5487965485
99,Coppin Heights/Ash-Co-East,1845,24,1778,5,0,0,8,30,12,955,677,278,5641122.32971191,11919.5124801037
100,Cross Country,5305,3838,1026,4,37,1,177,222,232,2094,1964,130,16530129.4940186,20724.6346584745
101,Cross Keys,883,688,89,2,44,0,14,46,42,710,642,68,7745429.86114502,15969.5678634545
102,Curtis Bay,3759,1757,1189,18,57,4,368,366,549,1756,1378,378,14236408.9753418,18858.9975542721
103,Cylburn,2212,48,2038,6,12,0,50,58,64,1040,902,138,6159427.04852295,10917.0463004952
104,Darley Park,913,12,846,1,0,0,15,39,6,455,341,114,1538455.19940186,5817.40969847428
105,Dickeyville,173,126,10,1,6,0,3,27,8,90,63,27,6014845.27593994,12671.4370681866
106,Dolfield,1799,29,1709,7,4,0,18,32,21,848,756,92,4739875.47467041,8663.96005721591
107,Dorchester,1565,51,1435,6,3,0,33,37,45,691,576,115,5315804.20715332,9393.61749940221
108,Downtown,7171,2740,2336,17,1295,6,188,589,510,5693,4765,928,11352723.6066895,14816.8154020894
109,Druid Heights,1267,21,1179,4,2,3,4,54,15,724,485,239,2522500.64025879,8008.48173002823
110,Druid Hill Park,27,10,5,2,0,0,5,5,6,8,8,0,27124234.7073364,22841.5384029932
111,Dunbar-Broadway,749,8,686,0,2,0,15,38,19,379,349,30,4785872.28930664,9667.48062276594
112,Dundalk Marine Terminal,7,6,0,0,0,0,0,1,1,0,0,0,11933585.90271,15861.4139290118
113,East Arlington,2187,26,2036,16,14,2,30,63,55,1080,973,107,3553968.28613281,8414.82960014074
114,East Baltimore Midway,2318,82,2091,8,7,0,67,63,67,1204,881,323,8358824.87670898,12871.7307569758
115,Easterwood,1178,13,1129,1,6,0,4,25,10,642,473,169,2153359.92224121,5925.70045260525
116,Edmondson Village,3642,55,3400,13,5,2,39,128,71,1672,1472,200,5181302.12359619,9826.74770627854
117,Ednor Gardens-Lakeside,4865,883,3608,10,74,2,42,246,139,2403,2235,168,14319363.1641846,18908.4167288787
118,Ellwood Park/Monument,3137,306,1667,45,87,0,785,247,1108,1297,1017,280,3889398.74829102,8536.31809061436
119,Evergreen,355,312,18,0,5,0,2,18,7,197,179,18,1604926.76409912,5211.30537652534
